binarized-sipi512/1.2.07.png     -- CPU linear two-scan              -- 2002                    -- 2002
binarized-sipi512/1.2.07.png     -- CPU front back scan              -- 5507                    -- 6007
binarized-sipi512/1.2.08.png     -- CPU one-pass                     -- 1501                    -- 1501
binarized-sipi512/1.2.08.png     -- CPU union-find                   -- 2013                    -- 2013
binarized-sipi512/1.2.08.png     -- CPU linear two-scan              -- 1512                    -- 1512
binarized-sipi512/1.2.08.png     -- CPU front back scan              -- 6006                    -- 6495
binarized-sipi512/1.2.09.png     -- CPU one-pass                     -- 1511                    -- 2011
binarized-sipi512/1.2.09.png     -- CPU union-find                   -- 2006                    -- 2506
binarized-sipi512/1.2.09.png     -- CPU linear two-scan              -- 1512                    -- 1997
binarized-sipi512/1.2.09.png     -- CPU front back scan              -- 5505                    -- 5505
binarized-sipi512/1.2.10.png     -- CPU one-pass                     -- 1511                    -- 1511
binarized-sipi512/1.2.10.png     -- CPU union-find                   -- 1500                    -- 1995
binarized-sipi512/1.2.10.png     -- CPU linear two-scan              -- 1000                    -- 1501
binarized-sipi512/1.2.10.png     -- CPU front back scan              -- 4506                    -- 5003
binarized-sipi512/1.2.11.png     -- CPU one-pass                     -- 1513                    -- 1513
binarized-sipi512/1.2.11.png     -- CPU union-find                   -- 2014                    -- 2014
binarized-sipi512/1.2.11.png     -- CPU linear two-scan              -- 1513                    -- 2001
binarized-sipi512/1.2.11.png     -- CPU front back scan              -- 5519                    -- 6017
binarized-sipi512/1.2.12.png     -- CPU one-pass                     -- 1491                    -- 1991
binarized-sipi512/1.2.12.png     -- CPU union-find                   -- 2003                    -- 2003
binarized-sipi512/1.2.12.png     -- CPU linear two-scan              -- 1991                    -- 1991
binarized-sipi512/1.2.12.png     -- CPU front back scan              -- 5506                    -- 6006
binarized-sipi512/1.2.13.png     -- CPU one-pass                     -- 1511                    -- 1511
binarized-sipi512/1.2.13.png     -- CPU union-find                   -- 1501                    -- 2002
binarized-sipi512/1.2.13.png     -- CPU linear two-scan              -- 1000                    -- 1501
binarized-sipi512/1.2.13.png     -- CPU front back scan              -- 4509                    -- 5009
binarized-sipi512/1.5.01.png     -- CPU one-pass                     -- 1502                    -- 1502
binarized-sipi512/1.5.01.png     -- CPU union-find                   -- 1518                    -- 2017
binarized-sipi512/1.5.01.png     -- CPU linear two-scan              -- 983                     -- 1503
binarized-sipi512/1.5.01.png     -- CPU front back scan              -- 6005                    -- 6005
binarized-sipi512/1.5.02.png     -- CPU one-pass                     -- 1991                    -- 1991
binarized-sipi512/1.5.02.png     -- CPU union-find                   -- 1001                    -- 1001
binarized-sipi512/1.5.02.png     -- CPU linear two-scan              -- 1010                    -- 1501
binarized-sipi512/1.5.02.png     -- CPU front back scan              -- 4514                    -- 5005
binarized-sipi512/1.5.03.png     -- CPU one-pass                     -- 1512                    -- 1512
binarized-sipi512/1.5.03.png     -- CPU union-find                   -- 1511                    -- 1999
