binarized-sipi512/1.1.01.png     -- CPU one-pass                     -- 1999                    -- 1999
binarized-sipi512/1.1.01.png     -- CPU union-find                   -- 2001                    -- 2511
binarized-sipi512/1.1.01.png     -- CPU linear two-scan              -- 1502                    -- 2002
binarized-sipi512/1.1.01.png     -- CPU front back scan              -- 6522                    -- 7014
binarized-sipi512/1.1.02.png     -- CPU one-pass                     -- 1501                    -- 1992
binarized-sipi512/1.1.02.png     -- CPU union-find                   -- 1510                    -- 2002
binarized-sipi512/1.1.02.png     -- CPU linear two-scan              -- 1510                    -- 1510
binarized-sipi512/1.1.02.png     -- CPU front back scan              -- 5505                    -- 6006
binarized-sipi512/1.1.03.png     -- CPU one-pass                     -- 2009                    -- 2009
binarized-sipi512/1.1.03.png     -- CPU union-find                   -- 1501                    -- 2002
binarized-sipi512/1.1.03.png     -- CPU linear two-scan              -- 2002                    -- 2002
binarized-sipi512/1.1.03.png     -- CPU front back scan              -- 6005                    -- 6506
binarized-sipi512/1.1.04.png     -- CPU one-pass                     -- 2001                    -- 2001
binarized-sipi512/1.1.04.png     -- CPU union-find                   -- 2000                    -- 2502
binarized-sipi512/1.1.04.png     -- CPU linear two-scan              -- 1500                    -- 2002
binarized-sipi512/1.1.04.png     -- CPU front back scan              -- 6506                    -- 6506
binarized-sipi512/1.1.05.png     -- CPU one-pass                     -- 2000                    -- 2501
binarized-sipi512/1.1.05.png     -- CPU union-find                   -- 2001                    -- 2001
binarized-sipi512/1.1.05.png     -- CPU linear two-scan              -- 2000                    -- 2502
binarized-sipi512/1.1.05.png     -- CPU front back scan              -- 5505                    -- 6005
binarized-sipi512/1.1.06.png     -- CPU one-pass                     -- 2001                    -- 2502
binarized-sipi512/1.1.06.png     -- CPU union-find                   -- 2001                    -- 2001
binarized-sipi512/1.1.06.png     -- CPU linear two-scan              -- 2001                    -- 2001
binarized-sipi512/1.1.06.png     -- CPU front back scan              -- 6005                    -- 6506
binarized-sipi512/1.1.07.png     -- CPU one-pass                     -- 2002                    -- 2002
binarized-sipi512/1.1.07.png     -- CPU union-find                   -- 1501                    -- 2002
binarized-sipi512/1.1.07.png     -- CPU linear two-scan              -- 1500                    -- 2002
binarized-sipi512/1.1.07.png     -- CPU front back scan              -- 6506                    -- 6506
binarized-sipi512/1.1.08.png     -- CPU one-pass                     -- 2500                    -- 2500
binarized-sipi512/1.1.08.png     -- CPU union-find                   -- 2001                    -- 2001
binarized-sipi512/1.1.08.png     -- CPU linear two-scan              -- 1501                    -- 2001
binarized-sipi512/1.1.08.png     -- CPU front back scan              -- 6005                    -- 6005
binarized-sipi512/1.1.09.png     -- CPU one-pass                     -- 2502                    -- 2502
binarized-sipi512/1.1.09.png     -- CPU union-find                   -- 1501                    -- 1501
binarized-sipi512/1.1.09.png     -- CPU linear two-scan              -- 1000                    -- 1501
binarized-sipi512/1.1.09.png     -- CPU front back scan              -- 6005                    -- 6506
binarized-sipi512/1.1.10.png     -- CPU one-pass                     -- 1501                    -- 2001
binarized-sipi512/1.1.10.png     -- CPU union-find                   -- 1501                    -- 1501
binarized-sipi512/1.1.10.png     -- CPU linear two-scan              -- 1501                    -- 1501
binarized-sipi512/1.1.10.png     -- CPU front back scan              -- 4504                    -- 5004
binarized-sipi512/1.1.11.png     -- CPU one-pass                     -- 2502                    -- 3002
binarized-sipi512/1.1.11.png     -- CPU union-find                   -- 1000                    -- 1000
binarized-sipi512/1.1.11.png     -- CPU linear two-scan              -- 1000                    -- 1000
binarized-sipi512/1.1.11.png     -- CPU front back scan              -- 3503                    -- 3503
binarized-sipi512/1.1.12.png     -- CPU one-pass                     -- 2001                    -- 2502
binarized-sipi512/1.1.12.png     -- CPU union-find                   -- 1501                    -- 2002
binarized-sipi512/1.1.12.png     -- CPU linear two-scan              -- 1498                    -- 1498
binarized-sipi512/1.1.12.png     -- CPU front back scan              -- 6005                    -- 6506
binarized-sipi512/1.1.13.png     -- CPU one-pass                     -- 1501                    -- 2001
binarized-sipi512/1.1.13.png     -- CPU union-find                   -- 1501                    -- 2002
binarized-sipi512/1.1.13.png     -- CPU linear two-scan              -- 1501                    -- 1501
binarized-sipi512/1.1.13.png     -- CPU front back scan              -- 4504                    -- 5004
binarized-sipi512/1.2.01.png     -- CPU one-pass                     -- 2006                    -- 2006
binarized-sipi512/1.2.01.png     -- CPU union-find                   -- 2001                    -- 2502
binarized-sipi512/1.2.01.png     -- CPU linear two-scan              -- 2002                    -- 2002
binarized-sipi512/1.2.01.png     -- CPU front back scan              -- 6005                    -- 6506
binarized-sipi512/1.2.02.png     -- CPU one-pass                     -- 1501                    -- 2001
binarized-sipi512/1.2.02.png     -- CPU union-find                   -- 1501                    -- 1501
binarized-sipi512/1.2.02.png     -- CPU linear two-scan              -- 1501                    -- 1501
binarized-sipi512/1.2.02.png     -- CPU front back scan              -- 5004                    -- 5505
binarized-sipi512/1.2.03.png     -- CPU one-pass                     -- 1500                    -- 2001
binarized-sipi512/1.2.03.png     -- CPU union-find                   -- 2001                    -- 2502
binarized-sipi512/1.2.03.png     -- CPU linear two-scan              -- 1501                    -- 2002
binarized-sipi512/1.2.03.png     -- CPU front back scan              -- 8008                    -- 8508
binarized-sipi512/1.2.04.png     -- CPU one-pass                     -- 2001                    -- 2001
binarized-sipi512/1.2.04.png     -- CPU union-find                   -- 2516                    -- 2516
binarized-sipi512/1.2.04.png     -- CPU linear two-scan              -- 2002                    -- 2002
binarized-sipi512/1.2.04.png     -- CPU front back scan              -- 6006                    -- 6006
